client_mac,client_ipv4,client_ipv6,site_name,site_location,site_description,ap_name,ap_description,device_ipv4,device_ipv6,ap_mac,user_name,ssid,rssi_strength,data_uploaded_(mb),data_downloaded_(mb),interface,channel,radio_id,uptime,association_time,disassociation_time,host_name,device_type,device_os,protocol,snr,created_at,sap_id,group_name,apgroupname,subapgroup1,subapgroup2,subapgroup3,subapgroup4,waniaxru26,waniaxru52,waniaxru106,waniaxru242,waniaxru484,waniaxru996,waniaxtxmcs48,waniaxtxmcs24,waniaxtxmcs12,waniaxtxmcs6,waniaxtxmcs54,waniaxtxmcs36,waniaxtxmcs18,waniaxtxmcs9,waniaxrxmcs48,waniaxrxmcs24,waniaxrxmcs12,waniaxrxmcs6,waniaxrxmcs54,waniaxrxmcs36,waniaxrxmcs18,waniaxrxmcs9,hkru26,hkru52,hkru106,hkru242,hkru484,hkru996,hktxmcs48,hktxmcs24,hktxmcs12,hktxmcs6,hktxmcs54,hktxmcs36,hktxmcs18,hktxmcs9,hkrxmcs48,hkrxmcs24,hkrxmcs12,hkrxmcs6,hkrxmcs54,hkrxmcs36,hkrxmcs18,hkrxmcs9,bssid,anomaly_score,anomaly_score_adjusted,spike_driven,is_anomaly,source_module,total_mcs_activity
E2-0E-6B-9F-0B-CC,192.168.171.176,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-82,6.28,45.55,5GHz,36,802.11axa,04:22:40,15-05-2025 11:11:41,,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,14,15-05-2025 15:34,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.0421047856483439,0.0042104785648343,False,True,Performance,
42-4C-AE-61-FB-F3,172.24.22.48,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,fe80::206:aeff:fe60:57db,00:06:ae:60:57:db,,5G_R&D,-85,0.01,0.08,5GHz,124,802.11axa,00:04:16,15-05-2025 09:46:42,,OPPO-A3x-5G,MOBILE_TABLET,Generic Android,1.3,10,15-05-2025 09:51,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.0420705939410378,0.0042070593941037,False,True,Performance,
1C-57-DC-74-3E-17,172.24.22.24,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-80,0.0,0.0,5GHz,112,802.11axa,06:36:41,15-05-2025 08:07:40,,HFCLs-Air,Laptop_PC,Mac OS X,1.3,14,15-05-2025 14:44,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:84:F8:27,0.0419282364071235,0.0041928236407123,False,True,Performance,
70-32-17-0D-66-41,192.168.171.251,2405:200:902:600:20be:8e04:8909:fe02,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-44,1.1,0.66,5GHz,36,802.11axa,00:00:48,15-05-2025 15:13:37,,darshan,Laptop_PC,Linux Ubuntu 20.04,1.3,52,15-05-2025 15:14,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.0419044343832989,0.0041904434383298,False,True,Performance,
04-56-E5-5B-C8-45,,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-55,0.01,0.01,5GHz,36,802.11axa,00:00:06,15-05-2025 13:29:04,15-05-2025 13:29:10,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,40,15-05-2025 13:29,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.041582768344059,0.0041582768344059,False,True,Performance,
E2-0E-6B-9F-0B-CC,192.168.171.176,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-82,3.8,40.65,5GHz,36,802.11axa,04:17:41,15-05-2025 11:11:41,,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,14,15-05-2025 15:29,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.0412935361289993,0.0041293536128999,False,True,Performance,
5A-8F-84-E5-A5-38,172.24.19.115,,5G_R&D,BLR,,Zone-A,Zone A,172.24.22.36,fe80::206:aeff:fe60:7bb7,00:06:ae:60:7b:b7,,5G_R&D,-86,0.0,0.0,5GHz,124,802.11axa,00:04:28,15-05-2025 11:02:19,,iPhone,MOBILE_TABLET,Apple iOS,1.3,9,15-05-2025 11:06,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:7B:AA,0.0412668477988238,0.0041266847798823,False,True,Performance,
04-56-E5-32-04-74,172.24.17.15,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,fe80::206:aeff:fe60:57db,00:06:ae:60:57:db,,5G_R&D,-39,1.16,20.68,5GHz,124,802.11axa,00:28:32,15-05-2025 10:27:26,,rishabh,Laptop_PC,Linux Ubuntu 20.04,1.3,56,15-05-2025 10:56,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.0411774785752441,0.0041177478575244,False,True,Performance,
7C-21-4A-FC-5E-59,172.24.16.212,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,fe80::206:aeff:fe60:57db,00:06:ae:60:57:db,,5G_R&D,-38,0.64,1.25,5GHz,124,802.11axa,01:17:33,15-05-2025 09:03:26,,shubham,Laptop_PC,Linux Ubuntu 20.04,1.3,57,15-05-2025 10:21,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.0411420529642825,0.0041142052964282,False,True,Performance,
4C-5F-70-B1-CF-DD,172.24.21.234,,5G_R&D,BLR,,Zone-A,Zone A,172.24.22.36,,00:06:ae:60:7b:b7,,5G_R&D,-86,0.01,0.0,5GHz,124,802.11axa,00:04:52,14-05-2025 18:17:12,,BLR5GLAPSAKET,Laptop_PC,Windows 10,1.3,9,14-05-2025 18:22,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:7B:AA,0.0408964752759825,0.0040896475275982,False,True,Performance,
A2-B1-24-2C-6E-26,192.168.70.97,,Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,192.168.70.92,fe80::206:aeff:fec4:5766,00:06:ae:c4:57:66,,Guest_Network,-86,0.01,0.02,5GHz,36,802.11axa,00:04:24,15-05-2025 10:34:43,,V2055,MOBILE_TABLET,Generic Android,1.3,9,15-05-2025 10:39,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:C4:57:56;00:06:AE:C4:57:57,0.0407776524882916,0.0040777652488291,False,True,Performance,
04-56-E5-32-04-74,172.24.17.15,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,,00:06:ae:60:57:db,,5G_R&D,-39,1.55,17.77,5GHz,124,802.11axa,00:26:56,14-05-2025 16:08:30,,rishabh,Laptop_PC,Linux Ubuntu 20.04,1.3,56,14-05-2025 16:35,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.0407723437865734,0.0040772343786573,False,True,Performance,
C4-75-AB-BA-39-E3,172.24.19.165,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,,00:06:ae:60:57:db,,5G_R&D,-46,0.06,0.93,5GHz,124,802.11axa,00:00:18,14-05-2025 19:42:15,,sourya,Laptop_PC,Linux Ubuntu 20.04,1.3,49,14-05-2025 19:42,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.0407594059293013,0.0040759405929301,False,True,Performance,
7C-21-4A-FC-DC-85,172.24.17.138,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,fe80::206:aeff:fe60:57db,00:06:ae:60:57:db,,5G_R&D,-38,0.04,0.16,5GHz,124,802.11axa,01:56:19,15-05-2025 11:20:49,,shubham,Laptop_PC,Linux Ubuntu 20.04,1.3,57,15-05-2025 13:17,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.040747993218692,0.0040747993218692,False,True,Performance,
04-56-E5-32-04-74,172.24.17.15,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,fe80::206:aeff:fe60:57db,00:06:ae:60:57:db,,5G_R&D,-41,2.48,21.09,5GHz,124,802.11axa,00:03:32,15-05-2025 10:27:26,,rishabh,Laptop_PC,Linux Ubuntu 20.04,1.3,54,15-05-2025 10:31,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.0405751716456316,0.0040575171645631,False,True,Performance,
42-4C-AE-61-FB-F3,172.24.22.48,,5G_R&D,BLR,,Zone-D2,ZONE D2,172.24.22.103,fe80::206:aeff:fe60:57db,00:06:ae:60:57:db,,5G_R&D,-83,0.01,0.08,5GHz,124,802.11axa,00:02:27,15-05-2025 10:53:31,,OPPO-A3x-5G,MOBILE_TABLET,Generic Android,1.3,12,15-05-2025 10:56,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:57:CE,0.0405627443803896,0.0040562744380389,False,True,Performance,
BA-63-6A-17-44-22,172.24.21.161,,5G_R&D,BLR,,Zone-A,Zone A,172.24.22.36,,00:06:ae:60:7b:b7,,5G_R&D,-60,0.21,0.62,5GHz,124,802.11axa,00:00:13,14-05-2025 20:36:52,,Pixel-7a,MOBILE_TABLET,Generic Android,1.3,35,14-05-2025 20:37,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:7B:AA,0.0405481588083287,0.0040548158808328,False,True,Performance,
8E-A5-D3-AF-D5-B2,172.24.23.83,,5G_R&D,BLR,,Zone-A,Zone A,172.24.22.36,fe80::206:aeff:fe60:7bb7,00:06:ae:60:7b:b7,,5G_R&D,-86,0.03,0.11,5GHz,124,802.11axa,00:05:10,15-05-2025 09:56:37,,motorola-edge-50-pro,MOBILE_TABLET,Generic Android,1.3,9,15-05-2025 10:01,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:7B:AA,0.0404915305459958,0.0040491530545995,False,True,Performance,
36-01-05-4C-C6-38,172.24.21.114,,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fe80::206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-86,0.02,0.04,5GHz,124,802.11axa,00:05:12,15-05-2025 15:59:23,15-05-2025 16:04:35,iPhone,MOBILE_TABLET,Apple iOS,1.3,9,15-05-2025 16:04,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.0404915305459958,0.0040491530545995,False,True,Performance,
