Client Mac,Client IPv4,Client IPv6,Site Name,Site Location,Site Description,AP Name,AP Description,Device IPv4,Device IPv6,AP Mac,User Name,SSID,RSSI Strength,Data Uploaded (MB),Data Downloaded (MB),Interface,Channel,Radio ID,Uptime,Association Time,Disassociation Time,Host Name,Device Type,Device OS,Protocol,SNR,Created At,SAP ID,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,waniaxRu26,waniaxRu52,waniaxRu106,waniaxRu242,waniaxRu484,waniaxRu996,waniaxTxmcs48,waniaxTxmcs24,waniaxTxmcs12,waniaxTxmcs6,waniaxTxmcs54,waniaxTxmcs36,waniaxTxmcs18,waniaxTxmcs9,waniaxRxmcs48,waniaxRxmcs24,waniaxRxmcs12,waniaxRxmcs6,waniaxRxmcs54,waniaxRxmcs36,waniaxRxmcs18,waniaxRxmcs9,hkRu26,hkRu52,hkRu106,hkRu242,hkRu484,hkRu996,hkTxmcs48,hkTxmcs24,hkTxmcs12,hkTxmcs6,hkTxmcs54,hkTxmcs36,hkTxmcs18,hkTxmcs9,hkRxmcs48,hkRxmcs24,hkRxmcs12,hkRxmcs6,hkRxmcs54,hkRxmcs36,hkRxmcs18,hkRxmcs9,BSSID,Total_MCS_Activity,Anomaly_Score,Is_Anomaly
FE-0F-61-0B-BA-06,172.24.21.77,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,00:17:25,15-05-2025 10:36:57,,OnePlus-9-Pro-5G,MOBILE_TABLET,Generic Android,1.3,9,15-05-2025 10:54,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,00:06:AE:84:F8:27,6,0.11627783726863572,True
7C-70-DB-2D-91-D2,172.24.16.183,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,15:53:48,14-05-2025 19:05:33,,tset,Laptop_PC,Linux Ubuntu 20.04,1.3,9,15-05-2025 10:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,00:06:AE:84:F8:27,6,0.11627783726863572,True
60-E3-2B-BC-C5-5A,172.24.18.98,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-41,0.01,0.01,5GHz,112,802.11axa,00:24:17,15-05-2025 10:35:04,,rajesh,Laptop_PC,Linux Ubuntu 20.04,1.3,53,15-05-2025 10:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,00:06:AE:84:F8:27,68,0.0809276467195933,True
60-E3-2B-BC-C5-5A,172.24.18.98,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-41,0.0,0.0,5GHz,112,802.11axa,00:49:17,15-05-2025 10:35:04,,rajesh,Laptop_PC,Linux Ubuntu 20.04,1.3,53,15-05-2025 11:24,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,00:06:AE:84:F8:27,50,0.06187818587816285,True
DA-32-AB-F7-04-B8,172.24.21.140,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,07:55:09,15-05-2025 07:39:14,,Xiaomi-Pad-6,MOBILE_TABLET,Generic Android,1.3,9,15-05-2025 15:34,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00:06:AE:84:F8:27,2,0.15754899740267347,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-47,0.01,0.18,5GHz,112,802.11axa,01:18:50,15-05-2025 14:20:32,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,47,15-05-2025 15:39,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,184,0,0,0,0,00:06:AE:84:F8:27,370,0.1765150981112712,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-49,0.01,0.07,5GHz,112,802.11axa,01:23:50,15-05-2025 14:20:32,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,45,15-05-2025 15:44,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,171,0,0,0,0,00:06:AE:84:F8:27,344,0.16942020419850934,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-53,0.08,1.72,5GHz,112,802.11axa,00:00:57,15-05-2025 15:58:30,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,41,15-05-2025 15:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,192,0,0,0,0,00:06:AE:84:F8:27,388,0.174374168933506,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-54,0.03,1.36,5GHz,112,802.11axa,00:05:51,15-05-2025 15:58:30,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,40,15-05-2025 16:04,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,185,0,0,0,0,00:06:AE:84:F8:27,372,0.1667986274908928,True
1C-57-DC-74-3E-17,172.24.22.24,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-86,0.0,0.0,5GHz,112,802.11axa,08:01:41,15-05-2025 08:07:40,,HFCLs-Air,Laptop_PC,Mac OS X,1.3,8,15-05-2025 16:09,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,00:06:AE:84:F8:27,6,0.22039839046152754,True
