client_mac,ap_mac,ap_name,created_at,rx_bytes,tx_bytes,rx_packets,tx_packets,rssi,snr,data_rate_from,data_rate_to
F8-89-D2-B8-F4-0F,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,1587678.0,9157702.0,7922.0,26726.0,-67,29,5.35,30.84
70-32-17-0D-E2-4C,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,283480.0,286408.0,1442.0,1230.0,-48,47,1.13,1.21
74-4C-A1-7B-DE-B9,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,1094264.0,24972478.0,7323.0,18918.0,-55,41,6.0,136.24
AC-74-B1-E1-83-7C,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,761921.0,1713675.0,2360.0,2871.0,-38,57,3.26,7.34
50-84-92-93-83-B6,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,3019568.0,4551415.0,5973.0,7344.0,-50,45,10.46,15.93
C4-75-AB-BA-39-E8,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,409288.0,761119.0,1619.0,1813.0,-51,44,1.62,3.15
70-32-17-D0-01-CE,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,230405.0,267370.0,1024.0,1063.0,-36,59,0.84,0.98
70-32-17-14-08-6B,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,536600.0,1085772.0,2149.0,2455.0,-54,42,2.11,4.28
6E-67-1D-FA-C9-E2,00:06:ae:6d:7b:0d,Guest_WiFi,2025-08-08 10:27:49+00,309151.0,474732.0,756.0,742.0,-54,42,4.79,7.48
3A-C7-B4-2A-75-42,00:06:ae:60:7b:b7,Zone-A,2025-08-08 10:28:43+00,0.0,0.0,0.0,0.0,-84,12,0.0,0.0
08-38-E6-56-09-40,00:06:ae:60:7b:b7,Zone-A,2025-08-08 10:28:43+00,0.0,0.0,0.0,0.0,-87,8,0.0,0.0
72-A5-36-37-D7-79,00:06:ae:60:7b:b7,Zone-A,2025-08-08 10:28:43+00,0.0,0.0,0.0,0.0,-76,19,0.0,0.0
74-4C-A1-7B-DE-B9,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:32:40+00,272857.0,11639824.0,2663.0,8385.0,-59,37,1.52,67.66
AC-74-B1-E1-83-7C,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:32:40+00,1421261.0,6217746.0,4674.0,6946.0,-38,57,5.08,22.0
50-84-92-93-83-B6,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:32:40+00,2315563.0,6464187.0,5912.0,8338.0,-45,50,7.67,21.47
C4-75-AB-BA-39-E8,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:32:40+00,1095988.0,3940694.0,3262.0,5034.0,-48,47,3.65,13.27
70-32-17-D0-01-CE,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:32:40+00,14493192.0,11365380.0,15495.0,17386.0,-35,60,47.82,37.62
70-32-17-14-08-6B,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:32:40+00,1718261.0,1963144.0,4106.0,4430.0,-54,42,5.91,6.8
9E-43-58-4A-DB-C7,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:33:50+00,2238.0,2332.0,41.0,36.0,-52,43,0.06,0.06
2C-7B-A0-C9-46-54,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:33:50+00,299887.0,408267.0,1646.0,1440.0,-47,48,1.33,1.78
BC-03-58-DE-27-6D,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:33:50+00,2965977.0,4716369.0,7777.0,7458.0,-56,39,11.82,19.19
A0-D3-65-1C-76-86,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:33:50+00,1514227.0,6056067.0,7330.0,8393.0,-60,35,5.05,20.32
90-65-84-4B-88-22,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:33:50+00,340118.0,520985.0,1512.0,1325.0,-51,44,1.48,2.62
70-32-17-CA-84-D8,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:33:50+00,1046360.0,1271368.0,5629.0,4511.0,-48,47,3.42,4.18
9A-B4-7D-BC-96-1F,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:34:01+00,702.0,540.0,9.0,8.0,-85,10,0.69,0.53
9E-43-58-4A-DB-C7,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,1544.0,1672.0,28.0,25.0,-53,42,0.06,0.07
2C-7B-A0-C9-46-54,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,123074.0,173518.0,503.0,478.0,-48,47,0.97,1.36
3A-C4-E2-3A-65-BC,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,1176.0,1732.0,28.0,26.0,-51,44,0.04,0.07
70-32-17-CA-7D-D5,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,5225595.0,4179534.0,6958.0,7019.0,-61,34,26.58,22.06
4C-5F-70-B1-CF-DD,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,1937794.0,10179024.0,7755.0,9058.0,-56,39,17.36,97.46
C4-75-AB-BC-9B-57,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,2512958.0,484782.0,3014.0,2251.0,-50,45,11.91,2.33
DA-32-AB-F7-04-B8,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,1674.0,2179.0,29.0,29.0,-76,19,0.07,0.08
70-32-17-0E-CC-11,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,97044.0,131067.0,464.0,396.0,-59,36,0.77,1.15
50-84-92-80-AF-4D,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,373964.0,227711.0,934.0,868.0,-60,35,2.17,1.42
8C-E9-EE-44-14-07,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,1009256.0,5814850.0,7113.0,7775.0,-59,36,4.56,26.29
F8-89-D2-B8-F4-55,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,509838.0,529111.0,1648.0,1406.0,-58,37,3.34,3.61
C4-75-AB-8B-95-75,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,350590.0,332654.0,1153.0,1208.0,-59,36,2.28,2.08
2C-7B-A0-C9-D7-36,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:36:40+00,708511.0,13403231.0,4483.0,10639.0,-65,30,5.32,103.06
C4-3D-1A-BF-D8-EE,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:59:54+00,64295.0,155329.0,161.0,111.0,-84,10,1.21,3.61
DA-82-49-46-AE-F6,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:59:54+00,2383.0,2348.0,45.0,32.0,-91,3,0.1,0.09
C4-75-AB-B5-E1-81,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:59:54+00,413648.0,527957.0,1313.0,1019.0,-48,46,14.43,22.42
56-B5-67-5B-B0-AE,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:59:54+00,7115.0,87651.0,85.0,73.0,-76,18,0.99,12.23
