Client Mac,Client IPv4,Client IPv6,Site Name,Site Location,Site Description,AP Name,AP Description,Device IPv4,Device IPv6,AP Mac,User Name,SSID,RSSI Strength,Data Uploaded (MB),Data Downloaded (MB),Interface,Channel,Radio ID,Uptime,Association Time,Disassociation Time,Host Name,Device Type,Device OS,Protocol,SNR,Created At,SAP ID,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,waniaxRu26,waniaxRu52,waniaxRu106,waniaxRu242,waniaxRu484,waniaxRu996,waniaxTxmcs48,waniaxTxmcs24,waniaxTxmcs12,waniaxTxmcs6,waniaxTxmcs54,waniaxTxmcs36,waniaxTxmcs18,waniaxTxmcs9,waniaxRxmcs48,waniaxRxmcs24,waniaxRxmcs12,waniaxRxmcs6,waniaxRxmcs54,waniaxRxmcs36,waniaxRxmcs18,waniaxRxmcs9,hkRu26,hkRu52,hkRu106,hkRu242,hkRu484,hkRu996,hkTxmcs48,hkTxmcs24,hkTxmcs12,hkTxmcs6,hkTxmcs54,hkTxmcs36,hkTxmcs18,hkTxmcs9,hkRxmcs48,hkRxmcs24,hkRxmcs12,hkRxmcs6,hkRxmcs54,hkRxmcs36,hkRxmcs18,hkRxmcs9,BSSID,Anomaly_Score,Anomaly_Score_Adjusted,Spike_Driven,Is_Anomaly
C4-75-AB-BA-38-03,,2405:200:902:600:6ca:a7d0:465a:c8b3,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-92,0.0,0.0,5GHz,36,802.11axa,01:15:09,14-05-2025 16:50:11,,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,4,14-05-2025 18:05,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.13327565209686698,0.013327565209686698,False,True
BA-BB-58-AF-00-26,192.168.171.151,2405:200:902:600:75f8:a2ab:99c7:13e5,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-93,2.41,109.37,5GHz,36,802.11axa,00:37:36,15-05-2025 15:51:46,,iPhone,MOBILE_TABLET,Apple iOS,1.3,3,15-05-2025 16:29,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.13177755212037356,0.013177755212037357,False,True
42-4C-AE-61-FB-F3,172.24.22.48,,5G_R&D,BLR,,Zone-A,Zone A,172.24.22.36,fe80::206:aeff:fe60:7bb7,00:06:ae:60:7b:b7,,5G_R&D,-89,0.01,0.0,5GHz,124,802.11axa,00:00:41,15-05-2025 14:06:08,,OPPO-A3x-5G,MOBILE_TABLET,Generic Android,1.3,6,15-05-2025 14:06,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:7B:AA,0.13135531269992462,0.013135531269992463,False,True
B6-EB-24-3D-DD-4B,192.168.70.111,2405:200:902:600:5c24:abb3:1fb:e945,Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,192.168.70.92,fe80::206:aeff:fec4:5766,00:06:ae:c4:57:66,,Guest_Network,-88,0.01,0.0,5GHz,36,802.11axa,00:00:15,14-05-2025 17:43:52,,vardhan-s-F23,MOBILE_TABLET,Generic Android,1.3,7,14-05-2025 17:44,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:C4:57:56;00:06:AE:C4:57:57,0.1305617594671592,0.01305617594671592,False,True
D2-D4-D9-40-F2-20,172.24.19.107,,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-90,1.49,45.46,5GHz,149,802.11axa,01:17:40,14-05-2025 18:01:29,,OPPO-F19,MOBILE_TABLET,Generic Android,1.3,4,14-05-2025 19:19,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1295450836326819,0.012954508363268192,False,True
A8-BA-69-B2-B2-2F,172.24.20.73,fde5:9c0b:a693::1,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-91,0.0,0.0,5GHz,149,802.11axa,00:03:04,14-05-2025 18:51:05,,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,3,14-05-2025 18:54,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.12770032830255817,0.012770032830255818,False,True
36-34-3D-76-D5-CE,172.24.19.234,fde2:5bbb:ea88::487:b7ef:976a:9ab3,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-91,0.08,0.1,5GHz,149,802.11axa,00:44:12,14-05-2025 18:44:50,14-05-2025 19:29:02,iPhone,MOBILE_TABLET,Apple iOS,1.3,4,14-05-2025 19:29,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1272552438386989,0.012725524383869891,False,True
12-18-95-A6-D3-FD,172.24.19.241,fde5:9c0b:a693::cac:db46:1745:a1c7,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-89,0.08,0.15,5GHz,149,802.11axa,00:01:27,14-05-2025 18:12:42,,iPhone,MOBILE_TABLET,Apple iOS,1.3,5,14-05-2025 18:14,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.12658481342169947,0.012658481342169948,False,True
12-18-95-A6-D3-FD,172.24.19.241,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-90,0.0,0.0,5GHz,112,802.11axa,00:32:13,15-05-2025 13:02:08,,iPhone,MOBILE_TABLET,Apple iOS,1.3,4,15-05-2025 13:34,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:84:F8:27,0.12506177380069805,0.012506177380069806,False,True
F6-31-54-BF-90-49,192.168.171.135,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-92,0.13,0.21,5GHz,36,802.11axa,00:03:28,15-05-2025 14:15:48,15-05-2025 14:19:16,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,3,15-05-2025 14:19,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.12444323391450784,0.012444323391450785,False,True
